31123,907,2421,9/16/19 18:45,553,0,6/1/15 22:18
18724128,1118,147,9/16/19 20:30,552,0,10/22/16 4:06
182427173,513,228,9/13/19 12:30,552,0,6/16/17 4:17
3291128,528,82,9/15/19 3:46,552,0,9/28/18 4:00
188123,922,0,9/6/19 22:00,552,0,6/1/15 22:56
3361128,102,927,9/17/19 2:45,551,0,6/1/15 19:57
3361128,304,3133,9/17/19 3:01,549,0,6/1/15 20:34
31123,701,8571,9/16/19 15:30,539,0,6/2/15 0:32
136388128,1607,2813,9/16/19 21:00,532,0,10/27/16 4:02
3877810,501,93,9/17/19 3:01,531,0,6/1/15 20:39
18724123,1402,0,9/14/19 17:31,528,0,6/2/15 1:32
31128,101,1782,9/17/19 2:45,523,0,6/1/15 19:32
60170750,1108,1033,9/16/19 23:00,519,0,6/2/15 0:01
172976750,920,373,9/16/19 22:00,518,0,11/1/17 3:33
3361128,925,259,9/16/19 22:30,515,0,6/26/15 8:53
37124,1702,114,9/16/19 12:15,510,0,5/5/16 5:00
172976750,204,0,7/21/19 3:00,509,0,11/1/17 2:46
3291128,101,5074,9/17/19 2:45,507,0,6/1/15 19:31
3361128,901,769,9/16/19 3:16,507,0,6/1/15 22:23
18724127,1106,0,9/12/19 0:30,505,0,6/2/15 0:04
3361128,803,350,9/16/19 3:16,504,0,6/1/15 22:29
3362128,101,1882,9/17/19 2:45,499,0,6/1/15 19:33
3283128,1608,1035,9/16/19 14:30,492,0,11/7/17 4:15
3380128,101,5619,9/17/19 2:45,490,0,6/1/15 19:31
31124,1009,363,9/16/19 4:01,483,0,6/2/15 0:08
2101021,501,0,6/21/19 3:15,481,0,6/1/15 20:41
3361128,703,785,9/16/19 9:45,481,0,6/1/15 21:44
102284126,1006,0,6/22/19 19:15,480,0,6/1/15 23:28
18724128,1116,0,6/12/19 15:45,480,0,9/20/16 4:30
188128,703,1331,9/16/19 11:30,480,0,6/1/15 22:02
188123,802,601,9/15/19 3:17,480,0,6/1/15 21:27
31123,908,1813,9/16/19 18:45,480,0,6/1/15 21:57
172976750,303,1165,9/17/19 3:01,471,0,10/31/17 2:46
172976750,1903,104,9/16/19 12:30,470,0,2/24/18 4:30
3875810,501,157,9/17/19 3:01,470,0,6/1/15 20:41
3361122,1107,0,6/18/19 13:30,468,0,6/1/15 23:40
18724127,1126,151,9/16/19 16:45,468,0,4/21/18 4:00
3380128,501,726,9/17/19 3:01,467,0,6/1/15 22:29
3283123,1606,8238,9/16/19 21:30,461,0,5/10/16 5:15
18724123,1118,0,9/16/19 21:30,460,0,10/22/16 4:06
3361128,101,3749,9/17/19 2:45,456,0,6/1/15 19:32
3288123,1601,661,9/16/19 16:15,456,0,6/2/15 1:58
136388128,1608,1758,9/16/19 20:15,456,0,11/8/17 4:16
182427173,304,2482,9/17/19 3:01,456,0,5/12/17 3:05
3283125,101,3451,9/17/19 2:45,455,0,6/1/15 19:31
17191810,501,122,9/17/19 3:01,451,0,6/1/15 20:41
36134111,512,0,9/7/19 19:30,450,0,3/2/17 3:02
3380128,205,904,9/17/19 3:01,447,0,6/1/15 19:50
35952173,501,747,9/17/19 1:58,447,0,6/1/15 20:41
92131127,501,35,9/15/19 12:47,447,0,6/1/15 20:41
114081750,501,112,9/16/19 22:16,445,0,6/1/15 20:40
3291124,303,676,9/17/19 3:00,439,0,6/1/15 20:20
36133111,512,0,7/6/19 22:30,438,0,3/2/17 3:02
3380128,207,0,9/13/19 3:01,435,0,6/1/15 19:49
3380128,1703,3165,9/16/19 4:46,434,0,2/14/17 4:15
3361128,2301,173,9/16/19 13:15,433,0,7/13/18 4:45
3362128,1007,421,9/14/19 4:01,432,0,6/1/15 23:47
106568123,1113,0,8/30/19 18:30,432,0,6/2/15 0:35
17192128,520,0,9/10/19 19:45,432,0,8/18/17 4:04
92131126,909,2263,9/16/19 21:15,432,0,6/1/15 21:51
31123,1606,12420,9/16/19 18:45,427,0,5/18/16 6:16
182427173,303,1387,9/17/19 3:01,427,0,5/2/17 2:46
172976750,218,144,9/16/19 3:01,426,0,11/2/17 2:46
1534750,1108,6055,9/16/19 14:15,421,0,6/2/15 0:00
36129111,512,0,8/20/19 23:15,420,0,10/25/16 3:02
18724123,1126,273,9/15/19 4:16,414,0,4/21/18 4:00
3291123,515,889,9/16/19 19:30,411,0,1/21/17 4:28
3380128,926,121,9/16/19 17:45,409,0,10/7/15 5:01
3380128,1504,7611,9/16/19 21:30,408,0,6/15/16 5:01
80127,202,50,9/16/19 3:01,408,0,6/1/15 20:14
3361128,217,0,8/29/19 5:15,408,0,7/6/16 5:00
36686127,803,0,9/8/19 20:30,408,0,6/1/15 22:29
37123,905,0,9/9/19 8:15,408,0,6/1/15 22:25
2221810,926,0,9/6/19 16:15,408,0,10/18/15 3:29
3361128,1503,918,9/16/19 20:30,407,0,8/16/15 5:21
17192128,521,402,9/16/19 16:00,406,0,5/5/17 4:17
3380128,201,1611,9/17/19 2:45,401,0,6/1/15 19:53
105911127,703,385,9/16/19 13:45,397,0,6/1/15 21:44
3291125,1204,1867,9/16/19 19:30,396,0,8/12/15 5:24
3283125,205,1858,9/17/19 3:00,396,0,6/1/15 19:50
3291125,205,1034,9/17/19 3:01,396,0,6/1/15 19:51
3283124,1007,627,9/16/19 14:15,395,0,6/1/15 23:48
31124,101,12229,9/17/19 2:45,390,0,6/1/15 19:33
3291124,1403,367,9/16/19 20:45,390,0,6/2/15 1:22
3283124,1403,4722,9/16/19 19:45,390,0,6/2/15 1:23
18724128,101,43,9/17/19 2:45,387,0,6/1/15 19:31
3380128,915,121,9/16/19 19:15,386,0,6/1/15 23:06
94151123,1802,1139,9/16/19 17:30,385,0,10/3/15 5:00
3361127,1115,0,9/1/19 17:00,384,0,1/30/16 5:15
3376127,1501,0,9/13/19 13:00,384,0,6/2/15 2:09
3361128,207,0,9/14/19 3:02,384,0,6/1/15 19:47
31128,804,0,8/29/19 14:45,384,0,10/23/15 5:00
110892750,1126,607,9/17/19 0:40,382,0,4/20/18 4:00
182427173,302,95,9/15/19 3:01,381,0,5/16/17 3:01
36686127,802,0,9/16/19 19:00,380,0,6/1/15 21:25
33123,1606,5575,9/16/19 22:15,378,0,5/10/16 5:15
3365127,1001,380,9/17/19 0:30,375,0,6/1/15 23:24
3380128,1126,198,9/15/19 4:16,375,0,4/20/18 4:00
2403750,1108,4,9/16/19 16:15,374,0,6/2/15 0:00
3361127,1126,49,9/15/19 4:15,373,0,4/21/18 4:00
3361127,804,0,9/6/19 10:45,371,0,10/20/15 5:00
3224121,402,2419,9/17/19 3:01,370,0,6/1/15 20:28
3875810,926,0,7/17/19 7:15,367,0,10/16/15 3:25
31123,514,887,9/15/19 3:30,363,0,8/26/17 4:00
2242121,926,0,9/5/19 20:30,363,0,2/16/17 3:33
80127,203,496,9/17/19 3:01,362,0,6/1/15 20:11
3283128,506,1539,9/14/19 3:16,362,0,6/1/15 21:59
3283123,501,2584,9/17/19 3:00,361,0,6/1/15 20:41
31123,919,2168,9/16/19 20:00,361,0,6/2/15 1:47
3280125,1101,0,9/9/19 15:00,360,0,6/2/15 0:24
18724123,1104,631,9/16/19 11:30,360,0,6/2/15 0:11
3379128,1504,620,9/14/19 6:30,360,0,6/18/16 5:04
31123,2001,3308,9/16/19 21:00,360,0,6/16/18 4:30
3362128,218,0,8/31/19 12:45,360,0,7/28/16 5:02
3875010,501,0,9/5/19 13:00,360,0,6/1/15 22:29
178468604,512,0,6/8/19 17:15,360,0,5/18/17 3:05
188128,608,339,9/16/19 19:00,360,0,6/1/15 21:11
3380128,901,3864,9/16/19 3:15,360,0,6/2/15 0:25
33119,905,0,9/14/19 9:45,360,0,6/1/15 22:27
9931128,101,0,9/15/19 13:45,359,0,6/8/16 3:32
31124,2103,5278,9/16/19 12:30,359,0,10/16/18 4:30
3380128,102,1324,9/17/19 2:45,358,0,6/1/15 19:57
3877810,926,0,7/17/19 15:00,354,0,10/16/15 3:25
17192122,505,568,9/16/19 20:15,353,0,6/1/15 20:49
183228736,1603,89,9/16/19 4:47,350,0,5/24/17 4:16
3283124,303,499,9/17/19 3:01,346,0,6/1/15 20:18
3380128,1109,219,9/16/19 16:30,345,0,6/2/15 0:30
17192122,513,1703,9/16/19 20:00,344,0,6/17/17 4:17
3361127,1109,223,9/16/19 4:15,342,0,6/2/15 0:29
117786233,501,18,9/17/19 2:49,339,0,6/1/15 20:41
18724128,1104,374,9/16/19 21:30,338,0,6/2/15 0:13
3380128,1405,0,9/15/19 13:30,337,0,6/2/15 1:20
94151124,101,5853,9/17/19 2:45,336,0,6/1/15 19:32
3361122,1104,0,7/9/19 18:00,336,0,6/2/15 0:12
18724123,501,2765,9/17/19 3:01,336,0,6/1/15 20:40
3361128,1108,0,9/13/19 13:45,335,0,6/1/15 23:59
3361128,904,2831,9/16/19 15:30,335,0,6/1/15 22:17
133453750,204,0,8/30/19 3:00,334,0,6/1/15 20:23
174185122,1107,0,9/14/19 18:45,330,0,4/22/17 3:53
3291124,1802,604,9/16/19 11:45,330,0,10/10/15 5:00
3361122,908,743,9/15/19 3:47,330,0,6/1/15 21:56
3283124,1123,257,9/16/19 19:15,328,0,11/12/17 4:01
204987122,402,0,9/14/19 11:45,328,0,2/3/18 3:00
60170750,501,892,9/17/19 3:01,327,0,6/1/15 20:40
178686750,501,0,9/10/19 21:15,327,0,6/20/17 3:02
311125,215,249,9/17/19 3:01,325,0,5/4/16 5:15
3283125,1113,73,9/14/19 4:15,324,0,6/2/15 0:35
36135111,512,0,7/20/19 17:00,324,0,10/25/16 3:02
3361128,919,806,9/16/19 16:30,320,0,6/1/15 22:51
3380128,919,1524,9/16/19 3:45,317,0,6/2/15 1:47
31123,518,909,9/15/19 3:31,314,0,3/1/17 4:15
92131127,701,1164,9/16/19 14:30,314,0,6/1/15 21:22
102284126,1003,0,9/11/19 15:00,312,0,6/1/15 23:32
